image,method,raw_bytes,out_bytes,encode_ms,decode_ms,encode_throughput_mbps,decode_throughput_mbps,ratio,bpp,lossless
ph_belfast_sunset_puresky_1k.exr,our_v2a_bitshuf_order0,8388608,5747370,216.924542,185.626333,38.67062676568887,45.19082968686345,1.4595559360194315,87.69790649414062,True
ph_belfast_sunset_puresky_1k.exr,our_v2b_bitshuf_order1,8388608,4241368,221.283292,229.631375,37.90890818815186,36.530757175494855,1.9778071603312894,64.7181396484375,True
ph_belfast_sunset_puresky_1k.exr,our_v4a_pred_order0,8388608,4786280,106.5555,137.302708,78.72524646780316,61.095721433258255,1.7526362853823847,73.0328369140625,True
ph_belfast_sunset_puresky_1k.exr,our_v4b_pred_order1,8388608,4681917,162.303792,368.198666,51.68460882294112,22.782831049148882,1.7917036974384637,71.44038391113281,True
ph_belfast_sunset_puresky_1k.exr,our_v4c_pred_bitshuf_order0,8388608,4700435,216.596708,198.026083,38.72915741637218,42.361126741066734,1.784645038171999,71.72294616699219,True
ph_belfast_sunset_puresky_1k.exr,our_v4d_pred_bitshuf_order1,8388608,4136077,223.142,269.509083,37.5931380018105,31.12551126894673,2.0281556653805044,63.11152648925781,True
ph_belfast_sunset_puresky_1k.exr,our_v3a_rct_order1,8388608,5934411,128.626584,267.324666,65.2167517719354,31.379850297839706,1.4135535944510753,90.55192565917969,True
ph_belfast_sunset_puresky_1k.exr,our_v3b_rct_bitshuf_order1,8388608,4241368,211.643334,286.894209,39.63558805022415,29.239377222842442,1.9778071603312894,64.7181396484375,True
ph_belfast_sunset_puresky_1k.exr,our_v3c_rct_pred_bitshuf_order1,8388608,4271214,234.505583,303.773084,35.771463914358065,27.614717833262674,1.963986819672346,65.17355346679688,True
ph_kloppenheim_06_puresky_1k.exr,exr_none,8388608,8397607,22.44425,5.720208,373.7530993461577,1466.4865333568289,0.9989283851935439,128.13731384277344,True
ph_kloppenheim_06_puresky_1k.exr,exr_rle,8388608,7423192,27.332416,8.572542,306.9105929018496,978.5438204910514,1.130054025276458,113.2689208984375,True
ph_kloppenheim_06_puresky_1k.exr,exr_zips,8388608,6276716,52.738417,12.518917,159.06067108536837,670.0745759397557,1.3364644823821883,95.77508544921875,True
ph_kloppenheim_06_puresky_1k.exr,exr_zip,8388608,6013501,37.770542,11.961583,222.09392706093547,701.2958067506617,1.394962435360034,91.75874328613281,True
ph_kloppenheim_06_puresky_1k.exr,exr_piz,8388608,5372679,84.518292,15.871875,99.25198204431295,528.520291395944,1.5613454665726354,81.98057556152344,True
ph_kloppenheim_06_puresky_1k.exr,jxl_e3_ll,8388608,3601228,327.41525,132.128375,25.620700318632075,63.48831581407097,2.3293743134286418,54.95037841796875,False
ph_kloppenheim_06_puresky_1k.exr,jxl_e7_ll,8388608,3163395,845.594333,140.754167,9.920369227450818,59.5975819316241,2.6517738063061995,48.26957702636719,False
ph_kloppenheim_06_puresky_1k.exr,jxl_e3_nl,8388608,943731,357.034083,125.543875,23.495258294430112,66.81813828034223,8.888770211002923,14.400192260742188,False
ph_kloppenheim_06_puresky_1k.exr,jxl_e7_nl,8388608,855347,2128.395458,173.679792,3.941282607266304,48.29927479415682,9.807257171650804,13.051559448242188,False
